source,target,value
11,61,1672.54
10,61,425.43
14,57,146.0
14,72,658.28
25,56,38.27
25,59,864.51
61,25,1604.3
26,59,407.09
61,26,413.05
8,56,524.72
8,57,9.91
8,62,818.81
8,72,4.84
63,30,335.08
30,68,201.05
30,71,134.03
62,39,614.11
39,64,614.11
59,33,908.83
33,64,608.92
33,69,300.0
56,17,11322.21
57,17,1184.05
17,66,382.83
17,68,4047.0
17,71,2620.0
17,70,52.0
17,73,92.0
17,72,4336.0
6,56,50.99
6,57,0.03
6,73,128.93
58,42,931.86
42,69,931.86
22,56,2860.0
22,57,111.95
59,22,4513.75
22,66,319.0
22,71,60.76
22,70,82.46
22,73,117.18
22,72,173.61
28,57,135.0
64,28,599.28
28,66,464.28
40,57,10.4
62,40,122.82
40,66,112.42
3,58,37431.92
3,66,4531.62
34,57,75.76
59,34,1274.55
34,66,1078.08
18,56,12379.57
18,57,1506.25
58,18,33615.19
18,66,949.24
18,68,9361.2
18,71,1464.16
18,70,2468.71
18,72,7824.42
58,19,1875.33
59,19,966.07
19,66,28.71
19,68,1347.83
19,71,224.64
19,73,93.6
19,72,205.92
21,56,1929.73
21,57,58.94
59,21,10160.48
21,66,2.02
21,71,113.26
21,70,7475.25
21,73,3624.36
21,72,113.26
58,43,1009.55
43,59,796.7
1,56,3525.83
1,57,3.88
59,35,1381.8
35,68,15.98
35,70,506.03
13,57,208.14
13,63,495.43
13,68,83.72
13,71,41.86
13,72,83.72
59,23,6250.04
23,66,0.02
23,70,6298.85
62,29,24.56
64,29,562.59
29,69,587.16
59,36,890.59
36,69,894.06
2,56,2203.75
59,37,960.56
37,66,1.44
37,69,390.48
15,57,365.29
4,59,26695.43
4,66,90.56
7,56,1.26
56,74,12191.91
57,74,1447.49
59,74,1457.06
61,74,80.62
62,74,57.32
63,74,160.36
64,74,61.15
