source,target,value
0,24,125062538
1,25,160430243
1,26,4130530765
2,25,3350754277
2,27,5992835511
3,25,1228222398
3,28,5871571694
4,30,9318577
4,31,3361518967
4,32,1009548426
5,32,1875326398
5,33,9088305318
6,35,4513751873
7,36,1274548731
7,37,1016047832
8,36,966065023
9,38,1381803486
9,40,6250039146
9,41,8905905257
10,42,9605613446
10,43,8586161722
11,44,8940644344
12,46,5102680682
12,48,4531624168
24,50,3594463012
25,51,3743192219
26,52,3529705476
25,53,2203747373
27,53,14599995
25,54,2081374282
28,54,4186020154
30,55,4954329538
31,55,8372040307
32,55,3652858827
32,57,9056107602
33,57,1877860647
35,58,2669542574
36,58,1262738
37,58,167254215
36,59,4254337038
38,59,3594463012
40,59,70152114
41,61,86451129
42,61,4070913718
43,62,53462189
44,63,8458905902
46,64,8188149319
48,65,2620
50,66,3828331504
51,66,4766206
52,67,4047
53,68,52
53,69,2971942036
54,70,60762071
54,71,3190042835
55,72,2343545932
55,73,8246281064
55,66,1388581703
57,67,146415901
57,68,9492404443
58,69,7296779
58,70,936120148
58,71,246870718
59,72,2246390583
59,73,28707855
59,66,940097279
61,67,134783435
61,68,1988675363
62,69,1132613631
63,70,2018858815
64,71,1587653088
65,72,7475249968
66,13,7475249968
72,13,6298853449
67,14,1340301711
68,14,2010452566
69,15,300
70,15,6089164563
71,15,9318577
72,15,13499994
73,16,4642836111
66,16,4642836111
67,16,1124222398
68,17,757558467
69,17,1078082514
70,17,2541637156
71,18,7967030664
72,18,15981126
73,18,5060274721
66,18,5871571694
67,18,1444326702
68,18,6661866435
69,18,390475653
70,19,1431617458
71,19,7754420391
72,19,495697165
66,19,460354437
72,19,3337080361
67,20,9291324
68,21,112657464
69,21,7653708361
70,21,2204
71,22,278258056
72,22,83714735
73,22,1363939396
66,22,3594463012
67,22,3594463012
68,22,1457062486
